uid,observed_on,place_guess,description,tags,timestamp,lat,lon,photo_url,name,image_path
197904216,2024-01-28 19:24:38-05:00,"Darrington, United States","Pam Barry, the owner and manager of Golden Rock, with BB, aka Black Beauty, her dog.",,2024-01-28,48.66720440761491,-121.29381448981015,https://inaturalist-open-data.s3.amazonaws.com/photos/348682986/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197904216-2024-01-28.jpg
197897477,2024-01-29 17:07:00+07:00,"Key Center, United States",,,2024-01-29,47.31651871432458,-122.77933879219275,https://inaturalist-open-data.s3.amazonaws.com/photos/348669173/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197897477-2024-01-29.jpg
197891832,2024/01/29 15:26,"Bellingham, United States",,,2024-01-29,48.72945363653838,-122.47578677050949,https://inaturalist-open-data.s3.amazonaws.com/photos/348658822/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197891832-2024-01-29.jpg
197884078,2024-01-29 17:44:02+05:30,"Cle Elum, United States",KMBT ,,2024-01-29,46.952791697333055,-121.22569000644945,https://static.inaturalist.org/photos/348643568/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197884078-2024-01-29.jpg
197881537,1994/09/15,"Tanner, United States",,,1994-09-15,47.435086279426145,-121.65143990644623,https://inaturalist-open-data.s3.amazonaws.com/photos/348638158/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197881537-1994-09-15.jpg
197867106,2024-01-23 11:46:02,"Cottage Lake, United States","Бродячие собаки стерилизованы. Они живут в роще на участке краеведческого музея. Там всё запущено и заросло. Собаки не сильно агрессивные, но к себе стараются ни кого не подпускать.",,2024-01-23,47.80109608004794,-122.04331877346672,https://inaturalist-open-data.s3.amazonaws.com/photos/348607224/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197867106-2024-01-23.jpg
197865471,2023/11/05 1:28 PM,"Port Ludlow, United States",,,2023-11-05,47.90559541565781,-122.71709824744163,https://static.inaturalist.org/photos/348603515/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197865471-2023-11-05.jpg
197860842,2024/01/27 7:08 PM,"Wilderness Rim, United States",,,2024-01-27,47.33716463500353,-121.70452045792827,https://inaturalist-open-data.s3.amazonaws.com/photos/348593463/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197860842-2024-01-27.jpg
197842515,2024-01-28 17:18:50-06:00,"Darrington, United States","DOR domestic dog 
",,2024-01-28,48.24360888005134,-121.70437102003152,https://static.inaturalist.org/photos/348555761/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197842515-2024-01-28.jpg
197842258,2024-01-28 17:16:14-06:00,"Belfair, United States",DOR domestic dog thot it was a coyote at first given the color ,,2024-01-28,47.53199826520391,-122.78323648660164,https://static.inaturalist.org/photos/348555370/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197842258-2024-01-28.jpg
197841099,2024/01/28 6:29 PM,"Elk Plain, United States",,,2024-01-28,47.039483392930485,-122.42975645658545,https://inaturalist-open-data.s3.amazonaws.com/photos/348552773/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197841099-2024-01-28.jpg
197825241,2024/01/21 10:25 AM,"Lofall, United States",,,2024-01-21,47.85755846725511,-122.66934580851695,https://inaturalist-open-data.s3.amazonaws.com/photos/348518592/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197825241-2024-01-21.jpg
197825238,2024/01/21 10:25 AM,"Darrington, United States",,,2024-01-21,48.42715650907534,-121.6700171024037,https://inaturalist-open-data.s3.amazonaws.com/photos/348518484/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197825238-2024-01-21.jpg
197814211,2024/01/12 4:53 PM,"Inglewood-Finn Hill, United States",,,2024-01-12,47.713612308076584,-122.25834318610084,https://inaturalist-open-data.s3.amazonaws.com/photos/348497662/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197814211-2024-01-12.jpg
197777643,2024-01-28 10:20:12+07:00,"Hansville, United States",,,2024-01-28,47.876433611872805,-122.5480969427153,https://static.inaturalist.org/photos/348424885/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197777643-2024-01-28.jpg
